id,price,number_of_reviews,No_of_days_booked_per_year,occupany_rate
3782573,138,4,10.0,2.7
3783213,100,180,255.0,70.0
3793096,80,0,0.0,0.0
3802605,340,0,0.0,0.0
3812145,311,7,4.0,1.0
3812427,420,0,0.0,0.0
3814396,168,119,113.0,31.0
3815322,70,49,44.0,12.0
3821115,100,0,0.0,0.0
3822253,142,9,15.0,4.0
3829829,199,11,24.0,6.7
3829874,199,4,10.0,2.7
3836137,141,0,0.0,0.0
3843588,114,53,77.0,21.0
3844338,185,18,43.0,11.7
3845375,309,189,234.0,64.0
3846519,226,64,97.0,26.7
3852488,97,8,11.0,3.0
3854103,297,20,34.0,9.3
3860614,179,20,11.0,3.0
3865673,199,2,6.0,1.7
3875560,80,5,11.0,3.0
3878331,138,139,135.0,37.0
3878476,150,77,102.0,28.0
3878539,80,0,0.0,0.0
3878603,139,36,68.0,18.7
3891444,117,165,197.0,54.0
3898472,85,0,0.0,0.0
3901481,141,4,15.0,4.0
3907604,68,10,6.0,1.7
3916276,65,9,43.0,11.7
3916814,103,3,7.0,2.0
3918737,179,10,4.0,1.0
3925734,230,0,0.0,0.0
3947279,94,187,168.0,46.0
3953893,162,21,49.0,13.3
3953901,65,24,69.0,19.0
3963271,150,71,44.0,12.0
3966224,291,10,77.0,21.0
3972175,80,116,142.0,39.0
3981644,128,105,219.0,60.0
3994498,150,9,11.0,3.0
4000736,150,49,47.0,13.0
4001156,112,5,68.0,18.7
4007522,399,0,0.0,0.0
4007981,260,3,4.0,1.0
4025522,215,74,88.0,24.0
4025925,70,65,91.0,25.0
4026319,125,0,0.0,0.0
